Thu Feb  4 00:20:53 2016 Program started.
Move mouse over bot window and press Enter.Thu Feb  4 00:21:00 2016 Found coin @ x: 235  y: 147
Thu Feb  4 00:21:02 2016 Found coin @ x: 235  y: 147
Thu Feb  4 00:21:05 2016 Found hammer @ x: 548  y: 251
Thu Feb  4 00:21:10 2016 Found coin @ x: 547  y: 147
Thu Feb  4 00:21:12 2016 Found coin @ x: 547  y: 147
Thu Feb  4 00:21:14 2016 Found hammer @ x: 786  y: 357
Thu Feb  4 00:21:17 2016 Found moon @ x: 849  y: 530
Thu Feb  4 00:21:37 2016 Found coin @ x: 364  y: 228
Thu Feb  4 00:21:38 2016 Found coin @ x: 936  y: 98
Thu Feb  4 00:21:41 2016 Found hammer @ x: 1247  y: 436
Thu Feb  4 00:21:44 2016 Found moon @ x: 792  y: 271
Thu Feb  4 00:21:48 2016 make horn @ x: 512  y: 310
Thu Feb  4 00:21:53 2016 Found coin @ x: 661  y: 239
Thu Feb  4 00:22:00 2016 Found moon @ x: 1015  y: 388
Thu Feb  4 00:22:07 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:22:12 2016 Found coin @ x: 1025  y: 57
Thu Feb  4 00:22:19 2016 Found moon @ x: 1243  y: 438
Thu Feb  4 00:22:30 2016 make kohl @ x: 512  y: 306
Thu Feb  4 00:22:35 2016 Found coin @ x: 661  y: 83
Thu Feb  4 00:22:42 2016 Found moon @ x: 1067  y: 570
Thu Feb  4 00:22:50 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:22:55 2016 Found coin @ x: 557  y: 135
Thu Feb  4 00:23:05 2016 Found coin @ x: 245  y: 291
Thu Feb  4 00:23:07 2016 Found coin @ x: 245  y: 291
Thu Feb  4 00:23:21 2016 Found coin @ x: 144  y: 280
Thu Feb  4 00:23:30 2016 Found coin @ x: 301  y: 264
Thu Feb  4 00:23:32 2016 Found coin @ x: 506  y: 275
Thu Feb  4 00:23:42 2016 Found coin @ x: 443  y: 160
Thu Feb  4 00:23:44 2016 Found coin @ x: 226  y: 254
Thu Feb  4 00:23:54 2016 Found coin @ x: 295  y: 311
Thu Feb  4 00:23:56 2016 Found coin @ x: 191  y: 363
Thu Feb  4 00:24:06 2016 Found coin @ x: 109  y: 413
Thu Feb  4 00:24:20 2016 Found coin @ x: 99  y: 300
Thu Feb  4 00:24:22 2016 Found coin @ x: 117  y: 315
Thu Feb  4 00:26:13 2016 Found coin @ x: 456  y: 170
Thu Feb  4 00:26:15 2016 Found coin @ x: 768  y: 170
Thu Feb  4 00:26:53 2016 Found coin @ x: 924  y: 92
